CI Name,Criticality,App Type,Usage,Brand Rating ,SOX Rating,BU Raring,Sharing Rating,Architecture Rating,COTS Rating ,Past 12 month Tickets Total,System Incidents Ranked,Interfaces,Servers,Databases,Hosting & Delivery Rating 
SAP EDW Application instances,3,SAP/ERP,Business Intelligence/Reporting,2,1,3,2,3,1,52,1,6,9,0,2
SAP Enterprise Portal,3,SAP/ERP,Web Portal,2,1,2,1,3,1,1,1,2,7,1,2
SAP FIORI,1,SAP/ERP,Enterprise Content Management,2,1,2,1,2,3,50,1,3,5,1,2
SAP Nortel Finance and Sales,3,SAP/ERP,Product Management,2,1,3,1,3,1,139,1,28,7,0,3
SAP Nortel Master Data,3,APPLICATION SHARED SERVICES,Document/File repository,1,1,3,2,3,1,6,1,2,3,0,3
SAP PI Box -PRD (Projects),1,SAP/ERP,Product Management,2,2,1,1,3,1,70,1,1,4,0,2
SAP PPM 5.0,1,SAP/ERP,Project Management,2,2,2,1,3,1,49,1,4,6,1,2
SAP-BPA,3,SAP/ERP,Business Intelligence/Reporting,2,1,3,2,3,1,12,2,0,0,0,2
SAP-BW-ENT,1,APPLICATION SHARED SERVICES,Business Intelligence/Reporting,2,2,1,1,2,1,14,1,4,4,0,2
SAP-G1P,5,SUPPLY CHAIN,Product Management,2,1,1,1,3,1,7,1,3,3,0,2
SAP-H2P,3,SAP/ERP,Resource Management,2,1,1,1,3,1,31,1,2,2,0,2
SAP-I2P,5,SAP/ERP,Product Management,2,2,3,2,3,1,3172,5,128,22,2,2
SAU COI Desktop,3,FINANCE,Administer/Manage/Monitor Systems,1,1,3,1,2,1,1,1,0,1,0,2
Seeburger Prod Environment,1,E-COMMERCE,Middleware,1,1,1,1,2,1,0,1,2,4,1,2
Services Web Registration Tool,1,SERVICES,Quoting,1,1,3,1,3,3,3,1,1,3,1,2
SFDC-SALES-PARTNER-PORTAL,3,Sales,Web Portal,1,1,3,1,1,1,360,5,35,Cloud,Cloud,1
Shift Bid,1,SERVICES,Resource Management,1,1,3,1,3,3,1,2,1,2,0,2
SOX Express,1,FINANCE,Business Intelligence/Reporting,1,1,3,1,3,1,1,1,1,3,0,2
SQA StepQ,3,SALES/MARKETING,Quality,1,1,3,1,1,1,0,1,0,3,1,1
SuccessFactors,3,HR,Resource Management,2,2,1,1,1,1,740,5,60,0,0,1
Supervisor Transaction Center,3,HR,Resource Management,1,2,1,1,3,3,58,1,6,1,1,2
Supply Chain Forms,3,SUPPLY CHAIN,Product Management,1,1,1,1,1,1,0,1,0,3,0,2
Tax Depreciation,1,FINANCE,Accounting/Finance/Treasury,1,1,3,1,3,3,2,1,1,2,0,2
THESOURCEPORTAL-PROD,1,BusinessApplicationGroup,Web Portal,1,1,1,1,3,3,180,5,1,23,1,2
TIMECARD application,1,FINANCE,Payroll,1,1,2,1,3,3,12,3,3,8,1,2
Transfer Manager Schedule,1,HR,Resource Management,1,1,3,2,3,3,0,1,0,4,1,2
TREX,3,FINANCE,Expense Management,1,2,3,1,3,1,382,5,7,7,2,1
Vartech,5,SALES,Payroll,1,1,3,1,3,2,1,1,3,8,1,3
Vertex QR9,3,FINANCE,Accounting/Finance/Treasury,1,1,3,1,1,1,0,1,0,5,1,2
Vertex Sales and Use Tax,5,FINANCE,Accounting/Finance/Treasury,1,2,3,1,3,1,39,2,1,2,1,2
Vertex Sales and Use Tax,3,FINANCE,Accounting/Finance/Treasury,1,1,3,1,2,1,19,2,2,4,0,2
Voice Portal,3,SAP/ERP,Communications/Collaboration,2,1,3,2,2,2,2,2,1,3,0,2
Voyager ACM/FSO,5,SALES,Billing/Invoicing,1,1,1,1,3,2,0,1,3,8,1,3
Voyager Adjustments,1,SUPPLY CHAIN,Billing/Invoicing,1,1,1,1,3,2,0,1,0,8,1,3
WebFocus,1,GABG,Middleware,1,1,2,1,1,3,1,1,0,1,1,2
WebLogic Application Instance - Integration - Linu..,3,APPLICATION SHARED SERVICES,Middleware,1,2,3,1,3,1,1,1,0,12,1,2
WebMethods Solaris Cluster,1,APPLICATION SHARED SERVICES,Middleware,1,1,2,1,2,1,55,1,1,6,0,2
